Date,Open,High,Low,Close,Adj Close,Volume
2023-07-18,1.123760,1.127574,1.122007,1.123760,1.123760,0
2023-07-19,1.122889,1.123974,1.117631,1.122889,1.122889,0
2023-07-20,1.120523,1.122965,1.113313,1.120523,1.120523,0
2023-07-21,1.113710,1.114703,1.110963,1.113710,1.113710,0
2023-07-24,1.112533,1.114504,1.106880,1.112533,1.112533,0
2023-07-25,1.106317,1.108893,1.102208,1.106317,1.106317,0
2023-07-26,1.105046,1.108647,1.103838,1.105046,1.105046,0
2023-07-27,1.107837,1.115200,1.098491,1.107837,1.107837,0
2023-07-28,1.097876,1.104679,1.094703,1.097876,1.097876,0
2023-07-31,1.102426,1.104545,1.100619,1.102426,1.102426,0
2023-08-01,1.099759,1.100231,1.095446,1.099759,1.099759,0
2023-08-02,1.100788,1.100703,1.091977,1.100788,1.100788,0
2023-08-03,1.094415,1.095398,1.091358,1.094415,1.094415,0
2023-08-04,1.095158,1.104094,1.093625,1.095158,1.095158,0
2023-08-04,1.095290,1.104484,1.093853,1.101200,1.101200,0
